ID,Start time,Completion time,Gender,Age,Closest biggest city near you,Number of kids (<18y) living with you,Birth Year,Number of modules completed so far,Average mark so far2,Prediction for this module's mark,I enjoy working with data,I am excited about working with data,I am afraid of working with data,I am interested in understanding Data Analytics,I plan to work hard in this module,"Height (absolute value, in centimeters (cm) - sorry imperial system users!)",Height (relative)
2,12/17/20 9:09:33,12/17/20 9:10:55,Woman,40-49,Lagos ,0,1975,5,62,62,Agree,Agree,Completely Disagree,Agree,Agree,175,very tall
3,12/17/20 9:09:27,12/17/20 9:11:01,Man,30-39,Dhaka,0,1011986,5,57,65,Agree,Agree,Completely Disagree,Agree,Agree,172,average
4,12/17/20 9:09:34,12/17/20 9:14:39,Man,30-39,Hanoi,0,1989,5,61,64,Agree,Meh,Disagree,Meh,Meh,178,average
5,12/17/20 9:19:54,12/17/20 9:27:03,Woman,50-59,Stockholm,0,1970,5,60,100,Agree,Agree,Completely Disagree,Agree,Completely Agree,164,average
6,12/17/20 9:28:13,12/17/20 9:35:44,Man,40-49,Accra,3,1979,5,60,70,Completely Agree,Agree,Completely Disagree,Completely Agree,Meh,170,average
7,12/17/20 9:52:37,12/17/20 9:58:18,Woman,40-49,Johannesburg ,2,1977,5,67,65,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,156,short
8,12/17/20 10:02:46,12/17/20 10:04:09,Man,30-39,singapore,1,1983,5,62,62,Agree,Agree,Disagree,Agree,Agree,178,average
9,12/17/20 10:20:02,12/17/20 10:25:21,Man,30-39,Zurich,1,1987,5,63,65,Agree,Meh,Agree,Completely Agree,Meh,185,tall
10,12/17/20 10:39:02,12/17/20 10:40:30,Woman,40-49,Johannesburg,2,1977,5,68,65,Completely Agree,Agree,Completely Disagree,Completely Agree,Completely Agree,156,short
11,12/17/20 10:55:58,12/17/20 11:00:12,Woman,30-39,Miami,1,1984,5,60,75,Agree,Agree,Disagree,Agree,Agree,165.1,average
12,12/17/20 10:57:17,12/17/20 11:00:21,Man,50-59,Basingstoke,1,1964,5,65,70,Agree,Meh,Meh,Agree,Agree,81,average
13,12/17/20 10:57:08,12/17/20 11:00:50,Man,30-39,khartoum,2,1984,4,55,70,Agree,Agree,Completely Disagree,Completely Agree,Agree,174,average
14,12/17/20 10:57:07,12/17/20 11:03:46,Man,50-59,Geneva,0,1962,5,65,70,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,183,average
